lid,rid
301409,536385
200629,233180
564505,1162547
932075,1013658
10434,1191260
34396,711741
268660,305127
840058,863232
683141,1041786
279050,777397
459475,698133
246181,605123
252998,912047
503953,732934
204975,1199587
707293,1199884
130458,1195748
282420,1083348
485193,1199587
567790,1123928
593629,1063755
626577,777397
277082,904969
889198,898548
932075,1123928
268660,677261
764755,826955
63351,1059128
859941,1196506
503953,539005
120541,1083348
503953,506713
743096,774273
315124,651055
628213,944400
40654,1036472
418025,1132226
120541,252203
579374,674226
608062,783786
51274,1081472
707777,826955
379900,1088097
40654,739890
1002305,1132226
503953,1144599
613184,741654
305127,1165334
503953,967246
728794,936634
910630,999224
262069,781468
316167,321927
431984,916147
5585,923715
702572,1141787
428253,726294
393759,995423
300147,626577
792321,1115364
689059,977945
282810,410199
665957,703939
568114,1034750
270197,282420
128045,992401
246181,975781
117055,696428
898548,921922
594193,1101042
96558,1115364
1168566,1170276
199300,246181
150734,1059128
268660,943450
246181,1179685
1159290,1215923
300302,327240
81979,799929
150734,480511
323452,1158280
317033,1163520
220952,1155623
328181,427882
611004,918553
106753,334978
282420,711741
63351,539005
793893,1013285
199300,726294
310482,504103
765044,886073
206865,345732
997206,1082248
126196,953269
64172,423218
300147,536385
203377,434374
331031,813048
371364,743096
170051,910630
393759,1170343
954611,1079385
323452,1083348
605123,726294
617298,977442
5560,936133
15001,475997
295250,932075
151611,410199
443797,507080
104977,428253
799929,1070036
435482,1002973
244133,839281
279050,605123
412911,884883
252203,1188973
63351,639640
383406,568114
120541,282420
943450,957824
1191260,1212563
484022,951273
151611,695299
351669,626976
230946,957824
27744,1028923
428253,1034750
104977,315124
10434,400124
353187,1028923
506338,1054717
674226,878708
203377,1199587
727834,1165334
64135,331031
774273,954611
392281,728794
729116,1030741
366473,410199
981309,1158271
503953,823803
517367,1199506
41532,402356
74573,890759
604087,1101685
519222,783786
396084,1097190
1144370,1179685
428253,1002305
560821,1036472
626976,774273
104977,106380
383406,726294
281751,1155623
63351,1041786
366473,695299
753549,1010776
56896,485193
653168,839281
480983,946260
249012,665957
63351,1062170
600291,867324
199300,503953
683141,728794
224952,890759
781468,1033663
793893,953269
843286,889119
300972,475997
162881,720053
323095,580720
434374,726294
418025,568114
652,839462
559035,954288
141485,434374
199300,1083209
145821,1079385
539005,777397
345732,608062
255274,268660
120541,354546
281751,504103
55568,282420
175231,224952
660310,773674
653168,878708
639592,1158280
20371,1170343
317339,485193
328181,918553
12242,953269
323452,517367
605123,1002305
310482,427882
12242,793893
183779,579374
150734,596073
310482,878708
17565,595720
165007,791724
150734,1041786
150734,617298
602914,787055
543560,1144370
204975,878708
85149,783266
485193,878708
206865,453128
418025,467117
67839,595720
383406,392281
884166,1170276
145821,1097190
228806,541098
175231,749709
896453,1054506
60970,395771
592450,916147
1013285,1141787
434022,992401
777397,878708
206865,591235
316167,774118
104977,279050
485193,506713
127214,262399
677261,1163085
244133,918553
301409,728794
462342,1165334
276727,1030741
55568,1081472
517367,677261
555161,696428
43547,867324
315124,383406
295250,1159290
220952,1002305
480511,503953
484332,957824
485193,1144599
596073,618417
596073,1199587
943022,1188973
197042,793893
268660,639592
206865,393759
434374,1083209
310482,653168
151611,922697
340426,1083348
46334,602914
255274,462342
689059,927370
749709,890759
41532,698653
568114,1155623
593629,944475
791068,908878
595720,884883
413584,765044
63351,977442
225419,783786
120541,1165334
360898,809333
503953,1041786
503953,617298
777397,1155623
323095,1046485
428253,618417
608062,871202
204975,653168
1163085,1165334
618417,878708
783786,884883
74573,1123928
674226,1199587
76617,579374
43547,1191260
539005,605123
244133,300147
653168,918553
729067,992401
199300,1179685
106380,568114
331031,730413
695299,906707
649701,1035107
15001,981309
1115465,1120420
269359,674226
300972,1215923
727834,1188973
732934,1059128
331031,773674
321927,1158280
1062170,1155623
76617,301409
840957,978176
62075,1207994
611004,1144370
517367,943450
20371,783786
63975,502519
252203,1165334
128045,910630
507080,565684
677261,943450
224952,1123928
206865,1014258
807660,936792
729116,997206
729116,1146173
555485,936792
183779,611004
270197,354546
1013658,1123928
666060,886073
321927,943022
78790,775729
20371,225419
106380,726294
220952,328181
141485,199300
431984,594193
396084,997206
315124,1144370
435482,615011
506713,726294
321927,545219
506338,1158271
15001,74573
2602,1004420
504103,918553
823803,1062170
257037,960334
317033,639978
178591,890759
536385,975781
220952,434374
412911,703939
63975,604476
206865,317033
657437,1021375
716113,787055
410199,698133
199300,1034750
203377,506713
197508,604476
890759,1013285
269359,428253
269179,765044
310482,1199587
104977,485193
323452,484332
134961,711741
346220,677261
177740,1082248
992749,1139304
230946,305127
594193,916147
639640,1144370
711741,1081472
182801,284379
660310,730413
43887,887913
543560,975781
1030741,1146173
480511,975781
936133,983468
203377,1144599
645411,1194611
536385,1144370
34396,677261
568114,777397
134961,517367
543560,1179685
618417,918553
1083348,1199506
698653,1004420
106380,683141
376435,906707
962676,1097340
220952,618417
683141,936634
12242,252998
777397,1199587
834317,980943
300930,832970
56896,674226
216431,649701
502519,593629
217610,464547
281751,328181
944400,1059233
480511,1144370
871202,1163520
392281,839281
418025,975781
183779,301409
354546,560821
538418,564059
268660,727834
150734,328181
159134,284046
160698,602914
246181,1042017
418025,1179685
462342,1188973
428253,543560
321927,517367
383406,1034750
269359,485193
410199,1151303
63975,722520
346220,943450
281751,434374
604087,791724
204975,1023494
10434,269179
600291,817272
197508,722520
774118,943022
526962,978176
216431,1035107
506713,1002305
34396,943450
418025,777397
175231,725704
698133,826955
145821,276727
482207,927616
315124,605123
503953,728794
249012,453128
683141,839281
434374,1034750
383406,1002305
114795,197042
777397,1023494
141485,539005
617298,878708
120541,1188973
376435,791724
1440,673197
340079,660122
981309,1013285
579374,1083209
81979,216431
732934,1062170
492859,1013285
1440,326870
134961,1158280
281751,1199587
56896,428253
595720,1200313
560821,1081472
609608,915531
177740,840058
244133,1144370
141485,1144599
506338,1013285
170051,807660
15001,1159290
141485,967246
657437,890759
967246,1199587
915589,1131636
936634,977442
418025,1034750
434022,910630
301409,579374
249012,393759
555161,792321
203377,626577
726294,1002305
63351,204975
276727,570242
729116,1097190
252203,305127
439649,769399
212242,936133
343554,793893
106380,418025
517367,639592
613184,729067
665008,783266
673197,889198
56896,106380
197042,1215923
434374,568114
725704,1215923
277082,992401
165007,201659
141485,1041786
246181,977442
793893,1141787
459475,1073700
55568,1188973
177740,1079385
255274,270197
298498,300302
57235,690871
54240,936133
113175,987234
255274,323452
300930,418789
141485,1062170
555485,807660
43547,977945
170051,257037
967246,1023494
203377,536385
12950,145821
76617,503953
596073,653168
639640,975781
605123,878708
249012,1014258
12242,1141787
660310,813048
203377,269359
492859,953269
145821,729116
878708,918553
40654,1083348
15001,1021375
637340,811675
1023159,1192492
323452,711741
492859,793893
282420,1199506
217610,1008271
484022,777209
506338,953269
918553,1083209
183779,936634
703939,1014258
434374,467117
1034750,1144370
507080,1059233
932075,1215923
10434,738563
665008,933048
301409,651055
45623,114795
1131636,1146173
584871,1147038
429726,1073700
651055,726294
485193,626577
823803,1059128
262069,729067
506713,618417
567790,749709
420447,927616
383406,618417
376435,1073700
249012,317033
326870,921922
639592,943022
683141,918553
687061,980943
605123,1155623
216359,482207
300147,579374
63351,480511
114795,657437
366473,896453
150031,609608
310482,539005
310482,506713
431984,722231
51274,354546
485193,732934
252998,1013285
220952,878708
484332,1158280
76617,383406
117055,844933
598072,660310
459475,525270
626577,732934
605123,653168
106380,1034750
131856,701429
310482,315124
1083209,1144599
67839,519222
617298,1199587
12242,197042
757934,778474
276727,1097190
43547,400124
310482,1144599
954611,1131636
34396,316167
144855,906707
316167,727834
960334,1033663
346220,639592
85149,251316
279050,977442
1040368,1059233
63975,555161
657437,1123928
579522,972646
204975,1144599
809333,916147
506713,1155623
845714,1120420
475997,749709
17565,78596
295250,492859
475997,702572
412911,995423
255274,560821
63351,150734
1170343,1195748
903612,1130803
12242,1215923
141485,977442
170051,389279
295250,1054717
539005,639640
183779,503953
503953,596073
76617,244133
40654,282420
677261,774118
777397,1144599
76617,104977
595720,1170343
291464,556300
429726,525270
435482,960334
150734,839281
67839,78596
743096,1082248
379900,488911
284379,811675
517367,727834
199300,543560
298498,353187
434374,1155623
128045,389279
300147,651055
76617,1179685
503953,936634
220952,653168
252203,739890
246994,703939
912047,932075
281751,878708
178591,1013658
412911,1170343
268660,943022
144855,791724
434374,653168
201659,791724
150734,878708
698133,984141
596073,1023494
726294,1155623
282810,1151303
538418,600291
199300,777397
252998,793893
5560,396084
201659,282810
925252,1063755
269359,683141
255274,1036472
34396,346220
281751,506713
545219,1158280
570242,840058
657242,1013658
64135,805337
340426,1188973
591235,703939
428253,1023494
300147,611004
145821,1131636
74573,475997
1034750,1042017
183779,383406
269359,392281
17565,608062
453128,591235
429726,764755
371364,1082248
45623,702572
484332,517367
467117,1132226
503953,839281
383406,543560
203377,732934
244133,428253
15001,178591
1101042,1184108
270197,957824
722304,844933
212242,915589
413584,600291
217610,986333
515875,915531
269359,1083209
279050,1059128
328181,485193
967246,1144599
224952,475997
543560,1042017
480511,1042017
10434,413584
626577,1059128
246994,783786
427882,1002305
145821,954611
300972,981309
434374,543560
467117,579374
34396,1163085
943022,1199506
703939,884883
817272,927370
665957,1014258
787055,923715
128045,257037
150734,653168
183779,244133
12242,74573
300972,567790
43547,927370
605123,1023494
206865,246994
220952,626577
729116,983468
346220,774118
898548,972906
106380,618417
104977,1132226
78596,206865
277082,910630
220952,1199587
504103,674226
997206,1131636
472984,925252
310482,536385
175317,649701
179046,965119
346220,727834
434374,777397
45623,506338
543560,674226
538418,689059
177740,276727
525270,1073700
418025,543560
506713,878708
204975,536385
130458,703939
5560,774273
485193,536385
244133,485193
954288,1063755
626976,1082248
727834,1199506
567790,725704
1054506,1073700
936634,1059128
150734,918553
230946,727834
271364,1215923
579374,683141
840058,936133
76617,605123
12950,1079385
144855,429726
269179,1146586
56896,683141
300147,301409
567790,1159290
559035,944475
301409,383406
932075,1159290
539005,977442
743096,1079385
276727,997206
130458,206865
269359,418025
300147,683141
113175,277082
170051,236010
327240,1097340
291464,701429
867324,1212563
56896,392281
269179,600291
220952,1023494
817272,867324
423218,1023159
1054717,1123928
413584,689059
56896,503953
106380,1155623
55568,354546
281751,626577
730413,1024080
435482,1033663
300147,503953
922697,984141
56896,1083209
59990,834317
536385,639640
120541,305127
651055,1034750
555407,769399
568114,639640
150734,1199587
478409,801209
506713,653168
615011,729067
170051,999224
871202,884883
596073,732934
130458,783786
295250,1158271
55568,957824
817272,1191260
503953,918553
300302,353187
315124,1042017
78790,660310
282420,321927
378349,963759
204975,1041786
204975,617298
933048,1176803
839281,1083209
246181,392281
150734,427882
611004,674226
170051,435482
128045,999224
91009,998816
126196,197042
85149,1097340
141485,596073
224952,749709
316167,943022
519222,591235
428253,539005
301409,1144370
428253,506713
777397,1041786
492859,1141787
840957,900995
596073,967246
46334,840632
626577,1062170
765044,927370
89391,406887
394970,999824
568114,1062170
128045,435482
506338,1141787
300147,383406
995423,1014258
326870,972906
20371,345732
64135,1139993
106380,543560
315124,674226
462342,1199506
428253,1144599
269179,689059
666060,977945
807660,999224
485193,579374
114795,890759
56896,418025
428253,967246
104977,568114
539005,1059128
2602,872089
170051,741654
517367,943022
249012,1200313
453128,519222
1101042,1162547
236010,807660
74573,932075
936634,1041786
63351,328181
323452,677261
275244,1088813
427882,1155623
12242,178591
517367,545219
791724,1151303
703939,1200313
326870,889198
626976,1079385
128045,741654
141485,823803
300147,936634
689059,738563
57547,275791
725704,981309
230946,484332
141485,480511
257037,904969
224952,932075
197042,567790
925252,944475
698653,872089
150734,203377
2602,698653
839281,1132226
579374,777397
765044,867324
410199,525270
595720,783786
428253,1062170
467117,683141
565083,817272
732934,1155623
1010776,1024080
427882,504103
126196,981309
270197,305127
823803,1199587
967246,1041786
527221,952478
506338,981129
40654,1188973
711741,957824
249012,608062
328181,674226
485193,651055
749709,1123928
236010,257037
596073,823803
300972,657437
323452,943450
694312,977821
1143763,1207770
300972,1021375
467117,503953
183779,300147
106380,1023494
301409,605123
639640,977442
565083,1212563
484332,943022
559035,722520
203377,617298
564059,1212563
220952,539005
506713,1023494
96558,696428
45623,657242
936792,1002973
765044,1191260
291464,557605
666060,867324
383406,1023494
276727,1146173
467117,1083209
51274,957824
113175,555485
568114,977442
428253,823803
392281,427882
579374,1034750
104977,683141
727230,1099384
56896,1034750
323452,1199506
12950,1082248
220952,1144599
78596,995423
555161,954288
220952,967246
1179685,1199587
676415,799764
204975,611004
427882,467117
596474,694312
485193,611004
282420,1163085
526962,840957
579374,1002305
591235,871202
1123928,1215923
203377,579374
317339,683141
778474,1079608
244133,674226
20371,453128
564059,565083
418025,732934
593629,722520
711741,1165334
114795,1013658
160698,840632
328181,428253
639592,677261
527144,564059
203377,301409
694312,697210
41532,303592
726294,1023494
301409,975781
75909,937824
997206,1030741
807660,1002973
230946,943022
651055,1155623
317339,503953
76617,777397
5585,160698
130458,995423
78596,1170343
46334,439649
1013658,1215923
317339,1083209
230946,545219
552680,568976
579374,605123
43547,538418
57547,345173
484332,711741
826955,896453
519222,595720
823719,970141
74573,1159290
613184,936792
767767,1070036
57235,916147
503953,1144370
64135,1024080
1515,1168566
722227,808999
141485,617298
427882,878708
145821,371364
236010,389279
246181,1002305
281751,967246
244133,1083209
282420,943450
741654,992401
249012,412911
695299,698133
702572,1123928
321927,346220
975781,1144599
203377,651055
224952,1159290
46334,432286
536385,1059128
130458,871202
1013658,1159290
568114,1059128
570242,729116
906707,984141
255274,484332
220952,823803
732934,878708
104977,418025
703939,1170343
725704,1159290
104977,246181
743096,840058
596073,1041786
429726,826955
596073,617298
666060,927370
560821,1165334
46334,953844
230946,711741
700578,1028886
262069,613184
43547,666060
270197,739890
177740,396084
262069,936792
317339,418025
199300,639640
393759,591235
428253,617298
1141787,1158271
427882,653168
321927,1163085
328181,579374
485193,503953
317339,1132226
393759,519222
321927,677261
579374,618417
203377,728794
183779,777397
252203,1158280
591288,983230
392281,626577
78790,1024080
183779,1144370
295250,702572
170051,434022
269359,568114
220952,536385
418025,1059128
617298,626577
872089,1004420
665008,1097340
406887,1197442
151611,201659
506713,539005
555161,1063755
418025,480511
1002305,1059128
467117,1034750
459475,1035512
134961,316167
383406,539005
383406,506713
340426,1199506
932075,1054717
212242,774273
281751,823803
541098,602914
764755,791724
63351,427882
657437,749709
354546,1083348
197042,657437
376435,698133
605123,1041786
504103,1083209
916147,1101042
506713,1144599
197042,1021375
725704,1021375
199300,1062170
175231,492859
506713,967246
301409,485193
383406,1144599
434374,539005
269359,726294
898641,944400
175231,1054717
459475,1054506
165007,1151303
912047,1054717
383406,967246
427882,434374
541098,787055
845714,1115465
67939,867324
602914,716113
715352,1036472
160698,439649
126196,657437
321927,943450
560821,1199506
255274,1083348
126196,1021375
564059,689059
104977,1034750
651055,1023494
366473,1073700
310482,596073
715352,739890
434374,1144599
429726,1035512
217610,1171854
271364,981309
56896,1155623
871202,1170343
17565,1195748
142264,206565
690871,1184108
992401,999224
10434,765044
351669,983468
465818,1088097
486154,745880
918553,1179685
271364,567790
269359,777397
298498,1028923
78086,150031
281751,536385
20371,591235
427882,1199587
428253,732934
317339,1034750
130458,225419
276727,983468
568114,596073
76617,279050
141485,728794
67939,1191260
726294,1144599
555485,1002973
150734,536385
51274,305127
262399,1004420
726294,967246
863232,1079385
20371,519222
220952,1041786
220952,617298
774118,1163085
294893,1184108
605123,626577
348909,633806
252203,711741
1042017,1144370
485193,936634
383406,1062170
56896,76617
677261,715352
611004,683141
310482,579374
657242,1215923
921873,1004420
626577,936634
435482,781468
317033,871202
1013285,1013658
55568,739890
946571,998816
728794,1083209
203377,503953
240040,1190080
432286,840632
732934,1199587
252203,517367
995423,1200313
63975,593629
160698,953844
305127,943022
504103,1132226
150734,315124
434374,1062170
555485,615011
74573,567790
62075,665105
197508,593629
206560,980361
922697,1101685
282420,639592
613184,807660
141485,328181
596073,728794
506713,823803
702572,749709
113175,992401
63351,918553
383406,823803
282810,429726
787055,953844
134961,1163085
199300,977442
943450,1165334
201659,896453
423218,720053
113175,1033663
224952,567790
428253,728794
315124,392281
485193,839281
134961,677261
197042,890759
698133,707777
246181,504103
618417,1132226
418025,1062170
915589,997206
236010,435482
722304,954288
117055,559035
381188,887913
683141,1042017
743096,1131636
281751,617298
1440,898548
777397,839281
56896,777397
393759,595720
310482,651055
15001,224952
525270,826955
126196,890759
389279,904969
269359,605123
506713,536385
741654,910630
367363,703698
63351,626577
75909,513302
40654,120541
183779,279050
204975,651055
1115465,1134987
300147,1144370
76617,106380
502519,1115364
695299,1151303
433917,703698
728794,1132226
305127,711741
604087,698133
63975,472984
281751,579374
106380,539005
700578,947134
424865,479637
252998,890759
54240,145821
197508,472984
557605,1171854
57235,594193
727834,943022
793893,1123928
162881,1192492
328181,683141
134961,943450
151611,906707
104977,618417
246181,467117
346220,715352
871202,995423
323452,639592
177740,570242
281751,301409
839281,1144370
15001,749709
15001,702572
556300,1008271
729116,863232
564505,916147
203377,244133
203377,936634
8526,638571
106380,967246
651055,732934
106380,639640
279050,1155623
567790,1158271
739890,1036472
711741,739890
126196,178591
328181,503953
962676,1063126
591235,1014258
932075,1158271
611004,726294
480511,1083209
150734,626577
269359,975781
769399,923715
128045,613184
301409,1042017
128045,729067
547165,686592
527144,689059
315124,418025
328181,1083209
269359,1179685
997206,1097190
286888,843907
936133,1082248
201659,410199
618417,651055
175231,1158271
912047,1158271
34396,252203
462342,727834
289799,1008271
615011,936792
220952,728794
43547,738563
244133,683141
279050,504103
690871,1162547
604087,1151303
67839,639978
106380,1041786
300930,640306
504103,568114
246181,878708
506713,1041786
78596,871202
20371,595720
506713,617298
579522,1083329
203377,839281
282420,727834
525270,1035512
560821,957824
555161,944475
67839,1195748
106380,1062170
12242,890759
56896,605123
301409,674226
910630,987234
432286,439649
484332,677261
268660,346220
294893,1162547
5560,276727
40654,1199506
707777,896453
84775,385484
113175,128045
67939,538418
626976,1131636
74573,1054717
1079608,1195862
51274,517367
331031,805337
515875,609608
639640,726294
271364,657437
653168,683141
393759,608062
301409,310482
689059,1146586
271364,1021375
55568,305127
427882,539005
427882,506713
467117,543560
475997,657242
337254,997429
183779,485193
246181,1155623
183779,220952
1083209,1199587
328181,418025
204975,301409
224952,1054717
726294,1041786
462342,943022
64135,753549
783266,962676
281751,728794
500039,769399
427882,1144599
1146586,1191260
321927,323452
328181,1132226
246181,653168
611004,1002305
702572,725704
502519,722304
467117,777397
301409,428253
17565,1163520
282810,1073700
216359,927616
27744,1176803
76617,639640
596073,936634
85149,1063126
783266,1097340
323452,774118
120541,943022
432286,953844
104977,543560
300147,975781
5560,840058
412911,453128
199300,204975
257037,277082
225419,246994
506713,732934
56896,618417
270197,711741
45623,1158271
244133,418025
20371,249012
51274,1158280
279050,878708
839281,975781
244133,246181
565684,944400
64135,832970
727834,1158280
475997,912047
270197,484332
113175,910630
729067,741654
141485,427882
536385,1034750
343554,890759
839281,1179685
106380,977442
180669,535067
5560,954611
570242,1030741
410199,1054506
936634,1199587
244133,726294
345732,519222
1021375,1215923
76617,1062170
992401,1002973
639640,1002305
20371,246994
906707,1101685
134961,639592
596073,839281
462342,711741
300147,310482
317339,777397
738563,817272
1034750,1155623
673197,898548
203377,918553
977442,1083209
536385,1002305
300930,730413
310482,383406
34396,1081472
331031,775729
480511,1034750
225419,591235
579374,1023494
889198,921922
431984,564505
617298,651055
767767,1035107
428253,839281
204975,383406
328181,1034750
726294,732934
228806,787055
12242,1123928
225419,519222
987697,1188342
246181,1199587
244133,777397
657437,725704
120541,711741
749709,981309
63351,315124
434374,967246
506713,728794
508994,649701
64135,78790
300147,428253
1054717,1159290
317033,345732
381188,1133820
778474,1192492
653168,726294
252998,657437
434022,999224
695299,1073700
236010,434022
43887,290462
749709,932075
651055,967246
32667,843907
114795,749709
392281,611004
640306,832970
5585,787055
78596,665957
354546,1188973
78790,598072
953269,1013285
75909,525700
175231,953269
912047,953269
27744,85149
611004,618417
45623,912047
270197,1158280
57235,722231
434374,596073
605123,839281
204975,281751
434022,435482
389279,987234
244133,1034750
543560,568114
206865,1195748
503953,674226
246181,1023494
777397,936634
12950,570242
217610,556300
1113411,1120420
316167,346220
27744,298498
651055,1041786
76617,392281
525270,1054506
141485,918553
977442,1132226
106380,1059128
244133,1002305
279050,434374
51274,727834
270197,545219
332119,690871
826955,1101685
300147,485193
246994,595720
564505,594193
204975,1144370
485193,1144370
76617,977442
651055,1062170
74573,1158271
722304,1063755
605123,651055
178591,981309
432286,716113
543560,726294
410199,984141
277082,389279
317339,605123
918553,1023494
957824,1036472
434022,741654
383406,480511
55568,517367
316167,323452
178591,567790
1023494,1132226
340426,774118
114795,932075
204975,300147
413584,886073
177740,1097190
464547,1008271
434374,823803
504103,777397
178591,932075
462342,545219
541098,975105
1147038,1168566
224952,1158271
279050,1199587
657242,981309
434374,480511
32667,1008198
720053,778474
596073,918553
781468,936792
134961,774118
626577,1199587
953844,975105
651055,823803
649701,767767
574237,778474
281751,936634
282420,545219
43547,765044
972646,1120420
472984,844933
726294,1059128
538418,565083
539005,878708
1155623,1179685
981309,1013658
315124,1155623
753549,832970
392281,683141
429726,459475
120541,545219
412911,591235
439649,602914
933048,1097340
715352,1083348
702572,932075
618417,777397
159489,972646
960334,992401
729116,743096
220952,651055
317033,453128
618417,1144370
300930,813048
977945,1146586
412911,519222
175231,1013285
150734,579374
492859,1123928
113175,781468
54240,351669
728794,975781
674226,975781
298498,933048
1013658,1021375
230946,316167
1097190,1131636
246181,434374
175231,295250
128045,434022
276727,915589
624776,1188942
728794,1179685
86783,1073224
674226,1179685
639640,1155623
203377,281751
315124,504103
878708,1083209
175231,300972
255274,1199506
252203,545219
915589,983468
413584,565083
55568,1158280
131856,498066
855597,978475
536385,1155623
315124,568114
281751,839281
106380,204975
40654,321927
749709,1159290
78596,345732
863232,1131636
813048,1139993
967246,1144370
728794,777397
204975,605123
591235,1200313
212242,1079385
183779,977442
738563,977945
317033,393759
12242,749709
579374,967246
536385,653168
295250,506338
1041786,1083209
250668,696910
543560,1155623
15001,114795
244133,618417
600291,927370
480511,1155623
203377,1144370
666060,738563
506713,596073
506338,890759
59990,980943
41532,591288
504103,605123
1021375,1159290
541098,840632
410199,826955
281751,651055
653168,975781
764755,896453
613184,1002973
503953,579374
315124,467117
203377,300147
228806,840632
291431,572601
150734,651055
212242,1082248
653168,1179685
728794,1034750
300972,702572
651055,728794
246181,506713
51274,484332
230946,346220
175231,252998
602914,975105
474256,568711
480511,504103
114795,725704
141485,203377
317033,1014258
427882,732934
434374,617298
204975,975781
453128,1163520
485193,975781
301409,683141
289799,464547
984141,1101685
236010,936792
579374,1062170
389770,852468
54240,1082248
331031,1024080
204975,1179685
246181,1144599
1079385,1082248
268660,270197
89391,703998
268660,323452
106380,823803
269359,977442
677261,957824
301409,392281
331031,1139993
150734,611004
1028923,1063126
106380,480511
617298,936634
600291,1146586
276727,863232
175231,271364
504103,1179685
480511,726294
151611,1054506
230946,1163085
262069,1002973
506713,839281
1041786,1132226
34396,268660
300972,506338
1042017,1083209
199300,1002305
177740,997206
918553,967246
539005,1199587
177740,1146173
711741,1158280
702572,1159290
774273,915589
1001047,1159680
76617,204975
504103,618417
954611,983468
63351,301409
839281,1042017
618417,975781
5560,371364
126196,475997
78596,453128
366473,1054506
711741,1083348
281751,918553
480511,777397
64172,778474
639640,878708
543560,618417
611004,653168
64135,300930
741654,999224
354546,1199506
428569,693615
106380,150734
618417,1179685
277082,435482
328181,777397
739890,1083348
621640,898641
506713,651055
394970,694312
212242,840058
340426,639592
412911,595720
568114,878708
423218,1079608
2602,127214
366473,376435
46334,228806
556300,986333
51274,943022
503953,611004
506338,1013658
279050,506713
564505,722231
244133,543560
315124,653168
275791,1181214
967246,975781
54240,840058
392281,503953
279050,315124
117055,604476
657242,657437
291431,1082577
967246,1179685
78596,393759
657242,1021375
56896,269359
579374,977442
565684,628213
301409,418025
1002305,1199587
279050,1144599
43547,1146586
665105,1207994
150734,301409
413584,564059
300147,392281
459475,707777
56896,977442
392281,1083209
199300,328181
538418,867324
769399,953844
56896,1023494
40654,774118
467117,639640
34396,462342
427882,823803
269179,527144
12950,1030741
162881,423218
480511,1002305
220952,383406
175231,1141787
40654,727834
639640,653168
104977,539005
560821,1158280
199300,434374
305127,316167
579374,639640
743096,1030741
74573,702572
204975,485193
472984,792321
39844,1185001
657437,1054717
683141,1083209
1083348,1163085
839281,977442
5560,12950
396084,936133
54240,1079385
360898,690871
12242,725704
315124,434374
162881,246638
326870,898548
78596,1014258
246181,536385
434374,728794
63351,611004
217610,557605
104977,967246
104977,639640
12242,114795
519222,1163520
12242,475997
246181,269359
224952,702572
315124,317339
203377,310482
117055,722520
257037,992401
467117,1062170
431984,1184108
1059128,1083209
268660,1036472
220952,281751
354546,677261
462342,715352
295250,343554
568114,918553
269359,732934
317339,639640
197042,749709
46334,769399
257037,1033663
228806,500039
932075,981129
228806,432286
777397,918553
76617,150734
503953,683141
315124,1199587
410199,459475
85149,300302
504103,543560
78596,317033
114795,981309
29375,1009159
269179,564059
613184,615011
896453,984141
878708,1132226
775729,1139993
367363,690701
216431,767767
392281,1132226
203377,428253
541098,953844
918553,977442
114795,567790
921873,983230
126196,749709
201659,1151303
617298,1132226
246994,519222
953269,1141787
5560,570242
611004,1023494
412911,608062
305127,346220
104977,1062170
220952,1144370
40654,255274
279050,626577
43547,689059
677261,1036472
282810,826955
340426,727834
31195,1130262
657242,890759
76617,1155623
255274,321927
526962,816931
141485,674226
220952,300147
160698,228806
628213,1040368
252998,749709
502519,1063755
354546,943450
