instance_id,brand,cpu_brand,cpu_core,cpu_model,cpu_frequency,capacity,pc_name,family,title,flag,clean_info,sorted_title
966706,0,0,0,0,0,0,0,0, win | in core multifunction ghz on 2014 ram (intel cf-53sslkk1m - android pro wintouch office ddr3 - ion,1, 2014 53sslkk1m android cf ddr3 ghz in intel ion multifunction office on pro ram wintouch, 2014 53sslkk1m android cf core ddr3 ghz in intel ion multifunction office on pro ram win wintouch
1212467,hp,intel,0,4300u,0,0,1080p,hp," hp laptop air thinkpad hard 512 laptop : free 4300u : hdd,dvd-rw,wifi,webcam,bluetooth,1080p ebay intel ram chrgr 80gb ebay on laptops alibaba.com notebooks price panasonic ram - 6.5a computer",2, 1080p 4300u 512 5a 6 80gb air bluetooth chrgr computer dvd ebay ebay free hard hp intel notebooks on panasonic price ram ram rw thinkpad, 1080p 4300u 512 5a 6 80gb air alibaba bluetooth chrgr com computer dvd ebay ebay free hard hdd hp intel laptop laptop laptops notebooks on panasonic price ram ram rw thinkpad webcam wifi
598072,lenovo,intel,i7,3667u,0,8 gb ram,3444,lenovo," lenovo thinkpad x1 carbon 3444 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 180 gb ssd - vology",2, 14 180 3444 3667u 64 8 8 carbon gb gb i7 lenovo pro ram thinkpad windows x1, 14 180 3444 3667u 64 8 8 bit carbon core gb gb i7 lenovo pro ram ssd thinkpad vology windows x1
81979,lenovo,intel,i5,0,0,0,0,lenovo," lenovo 320gb - dh31t 20c6008xus core 2 parts - | i5 2 lenovo & - product 4 | hd mid,laptop,mid premium",1, 2 2 20c6008xus 320gb 4 dh31t hd i5 lenovo lenovo mid mid parts premium, 2 2 20c6008xus 320gb 4 core dh31t hd i5 laptop lenovo lenovo mid mid parts premium product
598082,dell,0,0,0,0,0,0,dell," dell thinkpad 8530w core 13.3inch 1 6"" core 66 4900mq - core processor/8gb ebay - 6gb ebay | ebay ebay computers / mini computers computers - product - : portable vology",2, 1 13 3inch 4900mq 6 66 6gb 8530w 8gb dell ebay ebay ebay ebay mini portable thinkpad, 1 13 3inch 4900mq 6 66 6gb 8530w 8gb computers computers computers core core core dell ebay ebay ebay ebay mini portable processor product thinkpad vology
1073224,lenovo,intel,pentium,0,0,0,0,lenovo, 2 11 lenovo atom pentium 4 notebook duo hp 4gb |,0, 11 2 4 4gb atom duo hp lenovo pentium, 11 2 4 4gb atom duo hp lenovo notebook pentium
925773,lenovo,intel,i7,0,2.33,0,1600,lenovo, lenovo : c404-9ud vology 17.3-inch i7 camera 2.33ghz laptop 9 - in ddr3-1600/pc3-12800 used 1.90 | -,2, 1 12800 1600 17 2 3 33ghz 9 90 9ud c404 camera ddr3 i7 in lenovo pc3 used, 1 12800 1600 17 2 3 33ghz 9 90 9ud c404 camera ddr3 i7 in inch laptop lenovo pc3 used vology
1024080,lenovo,intel,i7,3667u,0,8 gb ram,3444,lenovo," lenovo thinkpad x1 carbon 3444 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 240 gb ssd - vology",2, 14 240 3444 3667u 64 8 8 carbon gb gb i7 lenovo pro ram thinkpad windows x1, 14 240 3444 3667u 64 8 8 bit carbon core gb gb i7 lenovo pro ram ssd thinkpad vology windows x1
122978,lenovo,intel,centrino,0,0,0,0,lenovo," lenovo 2.5"" hot-swap ideapad notebook grade centrino computers use 500gb 00ghz buy 66ghz wty 8 - - ram ebay china 500",2, 00ghz 2 5 500 500gb 66ghz 8 centrino ebay grade hot ideapad lenovo ram swap use wty, 00ghz 2 5 500 500gb 66ghz 8 buy centrino china computers ebay grade hot ideapad lenovo notebook ram swap use wty
114795,lenovo,0,0,0,2.40,8gb ram,0,lenovo," lenovo c7m98up#aba m6800 2 3"" | - core 2 2 webcam 8gb ram gb australia dvd ebay 2.4ghz : laptops,famous ghz 4 4 hdd computer accessories 8",2, 2 2 2 2 3 4 4 4ghz 8 8gb aba c7m98up computer dvd ebay famous gb ghz lenovo m6800 ram, 2 2 2 2 3 4 4 4ghz 8 8gb aba accessories australia c7m98up computer core dvd ebay famous gb ghz hdd laptops lenovo m6800 ram webcam
696428,hp,intel,i5,0,0,0,0,hp, hp | c140919 i5 ultra led china 8 : accessories - gigs 9 laptop 1.90 refurbished 4gb - ram | xp 500,1, 1 4gb 500 8 9 90 c140919 gigs hp i5 ram refurbished ultra xp, 1 4gb 500 8 9 90 accessories c140919 china gigs hp i5 laptop led ram refurbished ultra xp
172152,0,0,0,0,0,0,0,0," panasonic netbook raid vology inch core 1 | 160g core2duo 16,9""",1, 1 16 160g 9 core2duo netbook panasonic raid, 1 16 160g 9 core core2duo inch netbook panasonic raid vology
925823,0,0,0,0,0,0,0,0," amazon.com vaio e5504 laptop 2ghz only hd (1920x1080) duo (ips) d2500 2 ebay 15.6"" (4 ssd 886227298273 1.86 - & computer - - - : : gt/s pro - vology",2, 1 15 1920x1080 2 2ghz 4 6 86 886227298273 computer d2500 duo e5504 ebay gt hd only pro s vaio, 1 15 1920x1080 2 2ghz 4 6 86 886227298273 amazon com computer d2500 duo e5504 ebay gt hd ips laptop only pro s ssd vaio vology
1081472,hp,intel,0,0,0,0,0,hp," hp cf-195fwaxlm t420 intel 6"" 83 core vology core - - drive ghz ultrabook | & cam pro windows 500 leopard-009 1.90 product market gb ssd ram intel",2, 009 1 195fwaxlm 500 6 83 90 cam cf drive gb ghz hp intel intel leopard market pro ram t420 ultrabook windows, 009 1 195fwaxlm 500 6 83 90 cam cf core core drive gb ghz hp intel intel leopard market pro product ram ssd t420 ultrabook vology windows
843907,lenovo,intel,i3,4300m,0,0,0,lenovo," lenovo aspire 17r 2 - hdd i3 1 notebook ram ram, 500gb i5-4300m 64-bit - 4 screen dual china - computers,wholesale pc hdd",2, 1 17r 2 4 4300m 500gb 64 aspire dual i3 i5 lenovo ram ram screen wholesale, 1 17r 2 4 4300m 500gb 64 aspire bit china computers dual hdd hdd i3 i5 lenovo notebook pc ram ram screen wholesale
401549,0,0,0,0,0,0,0,0, 500 4530s gt notebook - win8 1tb dvd universal - ram product johannesburg 034 computers pictures dvd 3gb 5ghz - cf-c2acaazcm gb mygofer.com 180 notebooks hd 870m 16gb panasonic 160gb china,2, 034 160gb 16gb 180 1tb 3gb 4530s 500 5ghz 870m c2acaazcm cf dvd dvd gb gt hd johannesburg mygofer notebooks panasonic pictures ram universal win8, 034 160gb 16gb 180 1tb 3gb 4530s 500 5ghz 870m c2acaazcm cf china com computers dvd dvd gb gt hd johannesburg mygofer notebook notebooks panasonic pictures product ram universal win8
884883,lenovo,intel,i5,3320m,0,4 gb ram,2325,lenovo," lenovo thinkpad x230 2325 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology",2, 12 2325 3320m 4 5 500 64 7 gb gb i5 lenovo pro ram thinkpad windows x230, 12 2325 3320m 4 5 500 64 7 bit core gb gb hdd i5 lenovo pro ram thinkpad vology windows x230
401556,hp,0,0,0,0,0,0,hp, - pro led ebay 4 40gb c2d | on atom hp 1gb smt700ntsaxar w520 total 7 computers - 840 notebook webcam 11 in core,2, 11 1gb 4 40gb 7 840 atom c2d ebay hp in on pro smt700ntsaxar total w520, 11 1gb 4 40gb 7 840 atom c2d computers core ebay hp in led notebook on pro smt700ntsaxar total w520 webcam
1212563,lenovo,intel,i5,3427u,0,4 gb ram,3460,lenovo," lenovo thinkpad x1 carbon touch 3460 - 14"" - core i5 3427u - windows 8 pro 64-bit - 4 gb ram - 240 gb ssd - vology",2, 14 240 3427u 3460 4 64 8 carbon gb gb i5 lenovo pro ram thinkpad touch windows x1, 14 240 3427u 3460 4 64 8 bit carbon core gb gb i5 lenovo pro ram ssd thinkpad touch vology windows x1
1171613,lenovo,0,0,0,0,0,0,lenovo," lenovo series 8470p 11 air 4800m 2520 1 core - inch pricing ghz ddr3,",1, 1 11 2520 4800m 8470p air ddr3 ghz lenovo pricing series, 1 11 2520 4800m 8470p air core ddr3 ghz inch lenovo pricing series
1147038,acer,intel,i3,2348m,0,0,e1571,acer," amazon.com : lb1 high performance new acer black/silver aspire e e1-571-6607 15.6"" laptop pc with intel core i3-2348m processor 4gb memory 500gb hard drive and windows 7 home premium 64-bit high end professional audiophile wireless bluetooth mini speaker portable with built-in microphone and micro sd card slot (silver) : computers & accessories",2, 15 2348m 4gb 500gb 571 6 64 6607 7 acer aspire audiophile black bluetooth built card drive e e1 end hard high high home i3 in intel lb1 memory micro microphone mini new performance portable premium professional sd silver silver slot speaker windows wireless, 15 2348m 4gb 500gb 571 6 64 6607 7 accessories acer amazon and and aspire audiophile bit black bluetooth built card com computers core drive e e1 end hard high high home i3 in intel laptop lb1 memory micro microphone mini new pc performance portable premium processor professional sd silver silver slot speaker windows wireless with with
704675,0,amd,phenom,0,0,0,0,0, paypal cf-31wbl751m gb thinkpad i7 ebay 1866mhz kit phenom ce ghz pro dvd dv7 xga ebay pdw0au00601f ghz ebay 500 computers computers hd - ram 7 gb graphics,2, 1866mhz 31wbl751m 500 7 ce cf dv7 dvd ebay ebay ebay gb gb ghz ghz graphics hd i7 kit paypal pdw0au00601f phenom pro ram thinkpad xga, 1866mhz 31wbl751m 500 7 ce cf computers computers dv7 dvd ebay ebay ebay gb gb ghz ghz graphics hd i7 kit paypal pdw0au00601f phenom pro ram thinkpad xga
1007779,hp,0,0,0,0,0,0,hp," 14"" ux21erf t430s 2441 core hp ssdâdvdrwâwin7âoffice2010âwifinâhdmi",1, 14 2441 dvdrwâ hdmi hp office2010â ssdâ t430s ux21erf wifinâ win7â, 14 2441 core dvdrwâ hdmi hp office2010â ssdâ t430s ux21erf wifinâ win7â
286888,lenovo,intel,i3,4300m,0,0,0,lenovo," hdd, lenovo 2740p : computer android - (81y6554) 20cd 7 notebook i5 250gb i5-4300m | latitude i3",1, 20cd 250gb 2740p 4300m 7 81y6554 android computer i3 i5 i5 latitude lenovo, 20cd 250gb 2740p 4300m 7 81y6554 android computer hdd i3 i5 i5 latitude lenovo notebook
385194,lenovo,0,0,0,0,0,0,lenovo," lenovo elitedisplay - years edition 3"" 500 15.6-inch dvd usb office details 500gb ghz nvidia star® mediatek mygofer.com ram",2, 15 3 500 500gb 6 details dvd edition elitedisplay ghz lenovo mediatek mygofer nvidia office ram star usb years, 15 3 500 500gb 6 com details dvd edition elitedisplay ghz inch lenovo mediatek mygofer nvidia office ram star usb years
467117,hp,intel,i7,3320m,0,0,3320m,hp," hp : 450 led laptop 250gb 2gb gb core 3320m i7 windows | chinese dvd - laptops buy core 884942262777 - gb bdre product 7 60, nvidia, comparatif",2, 250gb 2gb 3320m 450 60 7 884942262777 bdre chinese comparatif dvd gb gb hp i7 nvidia windows, 250gb 2gb 3320m 450 60 7 884942262777 bdre buy chinese comparatif core core dvd gb gb hp i7 laptop laptops led nvidia product windows
368813,hp,0,0,0,0,0,0,hp, hp latitude 17 touch refurbished pc touch 7 core m 3427u 3g full condition 128 wifi ray laptops,1, 128 17 3427u 3g 7 condition full hp latitude m ray refurbished touch touch, 128 17 3427u 3g 7 condition core full hp laptops latitude m pc ray refurbished touch touch wifi
204975,lenovo,intel,i5,3320m,0,4 gb ram,3438,lenovo," lenovo thinkpad x230 tablet 3438 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology",2, 12 3320m 3438 4 5 500 64 7 gb gb i5 lenovo pro ram tablet thinkpad windows x230, 12 3320m 3438 4 5 500 64 7 bit core gb gb hdd i5 lenovo pro ram tablet thinkpad vology windows x230
958643,hp,0,0,0,0,0,0,hp, twin notebook - core hp & - 3d hybrid 250gb 500gb ram | 1tb 8.1 gemplus ebay led duo android,1, 1 1tb 250gb 3d 500gb 8 android duo ebay gemplus hp hybrid ram twin, 1 1tb 250gb 3d 500gb 8 android core duo ebay gemplus hp hybrid led notebook ram twin
172216,acer,0,0,0,0,0,0,acer, amazon.com : acer aspire nx.mhfaa.002;e1-572-6484 15.6-inch laptop : computers & accessories,1, 002 15 572 6 6484 acer aspire e1 mhfaa nx, 002 15 572 6 6484 accessories acer amazon aspire com computers e1 inch laptop mhfaa nx
983230,lenovo,intel,i7,0,0,0,0,lenovo," lenovo - ebay laptops (hs) laptop japan,used cheap ssd - i7 cortex t420s nq0023 yr ebay 8 product computers android 16 - 15 nvidia, convertible (id:160541124) computers led uk no 7",2, 15 16 160541124 7 8 android convertible cortex ebay ebay hs i7 id japan lenovo no nq0023 nvidia t420s uk used yr, 15 16 160541124 7 8 android cheap computers computers convertible cortex ebay ebay hs i7 id japan laptop laptops led lenovo no nq0023 nvidia product ssd t420s uk used yr
590021,dell,intel,i3,4000m,0,0,0,dell, lenovo notebook dell g1 intel i3-4000m toughbook laptops core pro,1, 4000m dell g1 i3 intel lenovo pro toughbook, 4000m core dell g1 i3 intel laptops lenovo notebook pro toughbook
434374,lenovo,intel,i5,3320m,0,4 gb ram,2324,lenovo," lenovo thinkpad x230 2324 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 180 gb ssd - with ultrabase series 3 - vology",2, 12 180 2324 3 3320m 4 5 64 7 gb gb i5 lenovo pro ram series thinkpad ultrabase windows x230, 12 180 2324 3 3320m 4 5 64 7 bit core gb gb i5 lenovo pro ram series ssd thinkpad ultrabase vology windows with x230
114889,lenovo,0,0,0,0,0,0,lenovo," lenovo latitude t430 15.5"", - 15.6"" notebook pc 32gb hdd core,4gb - nbd | dvdrw hdd ebay ram x",1, 15 15 32gb 4gb 5 6 ebay latitude lenovo nbd ram t430 x, 15 15 32gb 4gb 5 6 core dvdrw ebay hdd hdd latitude lenovo nbd notebook pc ram t430 x
57547,lenovo,amd,a8,0,0,0,0,lenovo," lenovo thinkpad hp lifebook company via8880 ebay / resolution, low notebook dual-core/ xp mesfebhl | windows 4 laptop pc,netbook black",1, 4 black company dual ebay hp lenovo lifebook low mesfebhl netbook resolution thinkpad via8880 windows xp, 4 black company core dual ebay hp laptop lenovo lifebook low mesfebhl netbook notebook pc resolution thinkpad via8880 windows xp
41182,lenovo,intel,i3,2367m,0,2 gb ram,2338,lenovo," lenovo thinkpad x130e 2338 - 11.6"" - core i3 2367m - windows 7 home premium 64-bit - 2 gb ram - 320 gb hdd - vology",2, 11 2 2338 2367m 320 6 64 7 gb gb home i3 lenovo premium ram thinkpad windows x130e, 11 2 2338 2367m 320 6 64 7 bit core gb gb hdd home i3 lenovo premium ram thinkpad vology windows x130e
418025,lenovo,intel,i5,3320m,0,4 gb ram,3435,lenovo," lenovo thinkpad x230 tablet 3435 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - with ultrabase series 3 - vology",2, 12 3 3320m 3435 4 5 500 64 7 gb gb i5 lenovo pro ram series tablet thinkpad ultrabase windows x230, 12 3 3320m 3435 4 5 500 64 7 bit core gb gb hdd i5 lenovo pro ram series tablet thinkpad ultrabase vology windows with x230
778474,dell,intel,i7,0,0,0,0,dell," dell u4ra3e - | intel 14"" 13 83 intel 8gb 750gb & i7 | laptop ghz computers silver ebay -",1, 13 14 750gb 83 8gb dell ebay ghz i7 intel intel silver u4ra3e, 13 14 750gb 83 8gb computers dell ebay ghz i7 intel intel laptop silver u4ra3e
786668,lenovo,intel,i3,2348m,0,0,0,lenovo," adapter - lenovo 2 ram i3-2348m 7 ebay pc, touchsmart chromebook - 20dh002tus",1, 2 20dh002tus 2348m 7 adapter chromebook ebay i3 lenovo ram touchsmart, 2 20dh002tus 2348m 7 adapter chromebook ebay i3 lenovo pc ram touchsmart
884988,0,amd,0,0,0,0,0,0, amd panasonic 1 inspiron ultimate - 2nd gb 1gb up e545 combo - 1080p ebay 3230m '07 laptop laptop,1, 07 1 1080p 1gb 2nd 3230m amd combo e545 ebay gb inspiron panasonic ultimate up, 07 1 1080p 1gb 2nd 3230m amd combo e545 ebay gb inspiron laptop laptop panasonic ultimate up
262399,lenovo,intel,i7,0,0,0,0,lenovo," hp (hewlett-packard) lenovo touch 15.6"" | zbook i7 l-158582 white 4gb hdd 8ms - ebay ray windows",1, 15 158582 4gb 6 8ms ebay hewlett hp i7 l lenovo packard ray touch white windows zbook, 15 158582 4gb 6 8ms ebay hdd hewlett hp i7 l lenovo packard ray touch white windows zbook
1163520,lenovo,intel,i5,3320m,0,4 gb ram,2325,lenovo," lenovo thinkpad x230 2325 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 320 gb hdd - vology",2, 12 2325 320 3320m 4 5 64 7 gb gb i5 lenovo pro ram thinkpad windows x230, 12 2325 320 3320m 4 5 64 7 bit core gb gb hdd i5 lenovo pro ram thinkpad vology windows x230
106753,dell,intel,i7,2520m,1.80,0,0,dell," for china 1.8ghz, aspire 7020ct gb laptops intel dell inch 2 2520m ebay 7 ssd win8 ssd i7-4600m ghz colored 8 product 7 ebay |",2, 1 2 2520m 4600m 7 7 7020ct 8 8ghz aspire colored dell ebay ebay for gb ghz i7 intel win8, 1 2 2520m 4600m 7 7 7020ct 8 8ghz aspire china colored dell ebay ebay for gb ghz i7 inch intel laptops product ssd ssd win8
884994,0,0,0,0,0,0,0,0," pansonic envy core - 2347 11.6"" ultrabook",0, 11 2347 6 envy pansonic ultrabook, 11 2347 6 core envy pansonic ultrabook
377089,hp,intel,i3,4010u,0,4 gb ram,810,hp, hp elitebook revolve 810 g2 tablet - 11.6 - core i3 4010u - windows 7 pro 64-bit / windows 8.1 pro downgrade - 4 gb ram - 128 gb ssd,2, 1 11 128 4 4010u 6 64 7 8 810 elitebook g2 gb gb hp i3 pro pro ram revolve tablet windows windows, 1 11 128 4 4010u 6 64 7 8 810 bit core downgrade elitebook g2 gb gb hp i3 pro pro ram revolve ssd tablet windows windows
975105,lenovo,intel,i7,3667u,0,8 gb ram,3460,lenovo," lenovo thinkpad x1 carbon 3460 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 180 gb ssd - vology",2, 14 180 3460 3667u 64 8 8 carbon gb gb i7 lenovo pro ram thinkpad windows x1, 14 180 3460 3667u 64 8 8 bit carbon core gb gb i7 lenovo pro ram ssd thinkpad vology windows x1
721161,0,0,0,0,0,0,0,0," sony core w520 - 14"" windows 80ghz ebay 4gb webcam core | 4g touchsmart ebay (+ screen 15.6"" ebay ram",1, 14 15 4g 4gb 6 80ghz ebay ebay ebay ram screen sony touchsmart w520 windows, 14 15 4g 4gb 6 80ghz core core ebay ebay ebay ram screen sony touchsmart w520 webcam windows
180501,0,intel,i3,0,0,0,0,0, lot thinkpad cheapest mid mg6420 500gb 1 buy 320gb i3-4130 hdd australia b8206 - hard ebay computers with processor product 1 ssd portable hdd product intel windows thenerds.net -,2, 1 1 320gb 4130 500gb b8206 cheapest ebay hard i3 intel lot mg6420 mid net portable thenerds thinkpad windows, 1 1 320gb 4130 500gb australia b8206 buy cheapest computers ebay hard hdd hdd i3 intel lot mg6420 mid net portable processor product product ssd thenerds thinkpad windows with
532786,0,0,0,0,0,0,0,0, amazon.com toughbook 6440b 15 20c0001hus 13.3-inch 2,0, 13 15 2 20c0001hus 3 6440b toughbook, 13 15 2 20c0001hus 3 6440b amazon com inch toughbook
1130803,hp,intel,i5,3437u,1.90,4 gb ram,810,hp," hp (hewlett-packard) elitebook revolve 810 g1 tablet pc - 11.6"" - intel - core i5 i5-3437u 1.9ghz (4 gb ram - 128 gb ssd - windows 7 professional 64-bit - convertible - 1366 x 768 led backlight) price comparison at buy.net",2, 1 11 128 1366 3437u 4 6 64 7 768 810 9ghz at backlight comparison convertible elitebook g1 gb gb hewlett hp i5 i5 intel net packard price professional ram revolve tablet windows x, 1 11 128 1366 3437u 4 6 64 7 768 810 9ghz at backlight bit buy comparison convertible core elitebook g1 gb gb hewlett hp i5 i5 intel led net packard pc price professional ram revolve ssd tablet windows x
295236,acer,0,0,0,0,0,0,acer," acer thinkpad x5355 17.3"" vaio solid port design 2 8 ssd core rw 64-bit win 1tb ebay gb 64-bit ebay 128 computers laptop,dual 500 & laptops alibaba.com - netbook 4 computers",2, 128 17 1tb 2 3 4 500 64 64 8 acer design dual ebay ebay gb netbook port rw solid thinkpad vaio x5355, 128 17 1tb 2 3 4 500 64 64 8 acer alibaba bit bit com computers computers core design dual ebay ebay gb laptop laptops netbook port rw solid ssd thinkpad vaio win x5355
1016133,lenovo,intel,centrino,0,0,0,0,lenovo," lenovo 2.5"" hot-swap ideapad notebook grade centrino computers use 500gb 00ghz buy 66ghz wty 8 - - ram ebay china 500",2, 00ghz 2 5 500 500gb 66ghz 8 centrino ebay grade hot ideapad lenovo ram swap use wty, 00ghz 2 5 500 500gb 66ghz 8 buy centrino china computers ebay grade hot ideapad lenovo notebook ram swap use wty
500039,lenovo,intel,i7,3667u,0,8 gb ram,3460,lenovo," lenovo thinkpad x1 carbon 3460 - 14"" - core i7 3667u - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 8 gb ram - 180 gb ssd - vology",2, 14 180 3460 3667u 64 64 7 8 8 carbon gb gb i7 lenovo pro pro ram thinkpad windows windows x1, 14 180 3460 3667u 64 64 7 8 8 bit bit carbon core downgrade gb gb i7 lenovo pro pro ram ssd thinkpad vology windows windows x1
287051,0,0,0,0,0,0,0,0, targus envy 3330 s7301 s1 766 4.1 core2duo gb 4ghz 4gb series ebay 128gb 4 32gb inch ash 64-bit,2, 1 128gb 32gb 3330 4 4 4gb 4ghz 64 766 ash core2duo ebay envy gb s1 s7301 series targus, 1 128gb 32gb 3330 4 4 4gb 4ghz 64 766 ash bit core2duo ebay envy gb inch s1 s7301 series targus
1114445,asus,0,0,0,0,0,0,asus, asus thinkpad - 10 20c0001hus led value,0, 10 20c0001hus asus thinkpad value, 10 20c0001hus asus led thinkpad value
8526,dell,intel,i7,1275m,0,0,0,dell," dell : 2730p vology 1275mx intel e ssd australia 4.0 i7 8 winxp 6gb & hdd, pro ram gb dual 64-bit hdd gb",2, 0 1275mx 2730p 4 64 6gb 8 dell dual e gb gb i7 intel pro ram winxp, 0 1275mx 2730p 4 64 6gb 8 australia bit dell dual e gb gb hdd hdd i7 intel pro ram ssd vology winxp
295250,lenovo,intel,0,0,0,0,0,lenovo, lenovo xmg intel 8gb mini : - t440 mobile (v11h553053) book 6gb,0, 6gb 8gb book intel lenovo mini mobile t440 v11h553053 xmg, 6gb 8gb book intel lenovo mini mobile t440 v11h553053 xmg
450904,lenovo,intel,0,2350m,0,0,0,lenovo, lenovo : 42bt300u laptop touch desktop - intel intel 2350m / inch - core ddr2 computers 8 tablet computers ram product on,1, 2350m 42bt300u 8 ddr2 desktop intel intel lenovo on ram tablet touch, 2350m 42bt300u 8 computers computers core ddr2 desktop inch intel intel laptop lenovo on product ram tablet touch
350,0,0,0,0,0,0,0,0," amazon.com lq166aw - thinkpad 14"" 15 14"" 67ghz core printer, ram gobi2000 8gb 1382blk cheap ebay bit",1, 1382blk 14 14 15 67ghz 8gb ebay gobi2000 lq166aw printer ram thinkpad, 1382blk 14 14 15 67ghz 8gb amazon bit cheap com core ebay gobi2000 lq166aw printer ram thinkpad
156016,0,0,0,0,0,0,0,0," good : x551ca-sx222h, 40 x1 tb hdd-hd4600-win",0, 40 good hd4600 sx222h tb x1 x551ca, 40 good hd4600 hdd sx222h tb win x1 x551ca
549235,dell,0,0,0,0,0,0,dell," 4700mq cf-191dyax1m 20 p4 dell 14"" 6ghz 4 4xb0f28636 & - details 64-bit cheap 7 ici",1, 14 191dyax1m 20 4 4700mq 4xb0f28636 64 6ghz 7 cf dell details ici p4, 14 191dyax1m 20 4 4700mq 4xb0f28636 64 6ghz 7 bit cf cheap dell details ici p4
794998,asus,intel,i5,0,0,0,0,asus," asus product touchsmart ebay 2 14"" | vology | 2.10 computers 64-bit gb i5 computers c6z87ut windows | laptop ultrabook gb tablet 10",2, 10 10 14 2 2 64 asus c6z87ut ebay gb gb i5 tablet touchsmart ultrabook windows, 10 10 14 2 2 64 asus bit c6z87ut computers computers ebay gb gb i5 laptop product tablet touchsmart ultrabook vology windows
